FILENAME,SPECIES,COUNT,SEX,x-y coordinate
snapshot_201910831124745.jpg,[IMPALA],[1],[FEMALE],"-0.390381, 36.962333"
snapshot_201910831124667.jpg,[IMPALA],[1],[FEMALE],"-0.390381, 36.962333"
snapshot_201910831124823.jpg,[IMPALA],[1],[FEMALE],"-0.390381, 36.962333"
snapshot_2019108311250252.jpg,[IMPALA],[1],[FEMALE],"-0.390381, 36.962334"
snapshot_2019108311251231.jpg,[IMPALA],[1],[FEMALE],"-0.390381, 36.962335"
snapshot_2019108311252209.jpg,[IMPALA],[1],[FEMALE],"-0.390381, 36.962336"
snapshot_2019108311253186.jpg,[IMPALA],[1],[FEMALE],"-0.390381, 36.962337"
snapshot_2019108311254164.jpg,[IMPALA],[1],[FEMALE],"-0.390381, 36.962338"
snapshot_2019108311352223.jpg,[IMPALA],[1],[FEMALE],"-0.390381, 36.962339"
snapshot_2019108311355215.jpg,[IMPALA],[1],[FEMALE],"-0.390381, 36.962340"
snapshot_2019108311356193.jpg,[IMPALA],[1],[FEMALE],"-0.390381, 36.962341"
snapshot_2019108311357171.jpg,[IMPALA],[1],[FEMALE],"-0.390381, 36.962342"
snapshot_2019108311358148.jpg,[IMPALA],[1],[FEMALE],"-0.390381, 36.962343"
snapshot_2019108311359126.jpg,[IMPALA],[1],[FEMALE],"-0.390381, 36.962344"
snapshot_201910831140104.jpg,[IMPALA],[1],[FEMALE],"-0.390381, 36.962345"
snapshot_2019108311424208.jpg,[IMPALA],[1],[FEMALE],"-0.390381, 36.962346"
snapshot_2019108311425187.jpg,[IMPALA],[1],[FEMALE],"-0.390381, 36.962347"
snapshot_2019108311426164.jpg,[IMPALA],[1],[FEMALE],"-0.390381, 36.962348"
snapshot_2019108311427142.jpg,[IMPALA],[1],[FEMALE],"-0.390381, 36.962349"
snapshot_2019108311428120.jpg,[IMPALA],[1],[FEMALE],"-0.390381, 36.962350"
snapshot_201910831142998.jpg,[IMPALA],[1],[FEMALE],"-0.390381, 36.962351"
snapshot_20191083114361.jpg,[IMPALA],[1],[FEMALE],"-0.390381, 36.962352"
snapshot_2019108311438235.jpg,[IMPALA],[1],[FEMALE],"-0.390381, 36.962353"
snapshot_2019108311439212.jpg,[IMPALA],[1],[FEMALE],"-0.390381, 36.962354"
snapshot_201910831457254.jpg,[WARTHOG],[1],[CAN'T TELL],"-0.390381, 36.962355"
snapshot_20191083281838106.jpg,[WARTHOG],[2],[CAN'T TELL],"-0.390381, 36.962356"
snapshot_201910832818405.jpg,[WARTHOG],[3],[CAN'T TELL],"-0.390381, 36.962357"
snapshot_20191083281842211.jpg,[WARTHOG],[3],[CAN'T TELL],"-0.390381, 36.962358"
